  n        time
   0     0.000000
  10     0.000000
  20     0.000000
  30     0.000000
  40     0.000000
  50     0.000000
  60     0.000000
  70     0.000000
  80     0.000000
  90     0.000000
 100     0.000000
 200     0.000000
 300     0.000000
 400     0.000000
 500     0.001000
 600     0.000000
 700     0.001000
 800     0.001000
 900     0.000000
1000     0.002000
1100     0.001000
1200     0.002000
1300     0.002000
1400     0.002000
1500     0.002000
1600     0.003000
1700     0.004000
1800     0.004000
1900     0.004000
2000     0.005000
