  n      repetitions     time
   0       10352217    0.000000
  10        2381189    0.000000
  20        1003611    0.000001
  30         566736    0.000002
  40         346045    0.000003
  50         240039    0.000004
  60         177294    0.000006
  70         136464    0.000007
  80         108522    0.000009
  90          88512    0.000011
 100          73668    0.000014
 200          21204    0.000047
 300           9897    0.000101
 400           5742    0.000174
 500           3705    0.000270
 600           2622    0.000381
 700           1931    0.000518
 800           1502    0.000666
 900           1190    0.000840
1000            938    0.001066
1100            765    0.001307
1200            668    0.001499
1300            557    0.001795
1400            492    0.002033
1500            436    0.002294
1600            384    0.002607
1700            342    0.002924
1800            304    0.003289
1900            264    0.003788
2000            236    0.004237
