  n    역정렬    순정렬     랜덤
   0  0.000000  0.000000  0.000000
  10  0.000000  0.000000  0.000001
  20  0.000001  0.000001  0.000003
  30  0.000003  0.000003  0.000006
  40  0.000003  0.000004  0.000010
  50  0.000006  0.000005  0.000010
  60  0.000007  0.000007  0.000016
  70  0.000010  0.000009  0.000018
  80  0.000011  0.000011  0.000022
  90  0.000015  0.000015  0.000026
 100  0.000017  0.000016  0.000027
 200  0.000054  0.000059  0.000087
 300  0.000111  0.000137  0.000174
 400  0.000194  0.000212  0.000247
 500  0.000282  0.000310  0.000369
 600  0.000400  0.000441  0.000570
 700  0.000600  0.000666  0.000774
 800  0.000781  0.000851  0.000893
 900  0.001105  0.001215  0.001481
1000  0.001212  0.001439  0.001586
1100  0.002066  0.001837  0.002075
1200  0.001990  0.001949  0.002488
1300  0.002317  0.002463  0.002484
1400  0.002143  0.002462  0.002545
1500  0.002665  0.002720  0.003015
1600  0.002768  0.003268  0.003367
1700  0.003617  0.003663  0.003814
1800  0.003846  0.003914  0.004119
1900  0.003953  0.004319  0.004771
2000  0.004319  0.004817  0.005312
